Blog	close	week	interesting	month	between	water	business	version	side	launch	home	america	good	director	them	image	twitter	video	second	through	announced	computer	than	several	white	personal	stop	web	own	challenge	such	according	public	x	put	most	seems	nice	product	store	see	give	live	won	trump	heard	wednesday	giving	asked	quickly	pretty	really	later	being	started	job	software	am	anything	party	those	st	outside	o	high	doesn	want	says	money	questions	today	evidence	think	why	published	blog	press	until	goes	again	cool	everyone	long	list	short	text	spread	simple	m	believe	where	hit	helps	else	something	ago	rather	early	search	talk	building	future	women	washington	do	came	got	apps	even	mind	team	name	become	learn	state	major	driving	any	yesterday	game	seen	focus	changed	united	run	our	friday	recently	across	perfect	season	written	links	interview	night	fine	love	creating	few	related	lights	seem	head	attack	president	yes	no	place	probably	different	only	need	tools	office	isn	technology	behind	least	down	better	campaign	youtube	late	event	bad	amazon	ready	top	four	yet	coming	face	security	important	both	national	tv	th	mother	kid	try	after	card	app	off	stuff	then	months	days	access	decided	minutes	these	family	him	deal	machine	sure	videos	tech	takes	process	available	quite	should	away	since	half	times	may	back	life	website	well	getting	care	start	big	taking	she	bit	under	nbsp	telling	still	hour	her	include	american	e	far	hard	self	look	been	report	told	easy	windows	light	wrote	years	part	series	recent	earlier	members	find	amp	general	clear	french	weeks	almost	middle	kids	every	way	great	didn	small	york	forward	morning	its	though	always	media	used	take	another	point	little	save	please	states	happy	b	microsoft	learned	issues	against	around	design	tool	space	group	car	photos	took	board	everything	check	company	data	does	events	internet	mdash	change	site	leave	don	became	often	service	did	over	said	together	ask	share	reason	amazing	ways	michael	meeting	facebook	matter	russian	going	via	running	pictures	whether	fact	buy	update	other	keep	makes	thing	pro	email	along	using	create	official	view	myself	online	wannacry	writing	say	free	idea	ll	also	were	posted	know	working	which	called	went	sunday	anyone	left	best	each	must	step	large	com	changes	john	actually	comes	ideas	found	post	making	guy	mr	man	someone	soon	companies	help	thought	google	same	products	moment	many	son	released	course	worked	past	health	saying	million	number	use	travel	room	directly	appeared	during	popular	made	co	done	tell	real	russia	order	pay	book	center	before	me	story	experience	music	two	living	trying	feel	go	information	could	shows	show	means	problems	last	books	open	previously	looking	serious	d	basically	set	feature	private	let	word	article	without	moved	end	thinking	because	devices	very	looks	might	next	he	house	school	support	full	year	come	p	play	right	latest	city	lot	impact	james	three	us	read	mobile	black	motion	too	case	ransomware	less	former	including	results	turn	massive	hours	original	ve	doing	weekend	make	possible	mark	reading	movie	work	old	nothing	stories	kind	led	never	power	once	based	already	page	had	especially	would	call	much	k	wouldn	hope	apple	while	news	line	test	enough	art	gets	social	world	ever	things	yourself	needs	his	phone
ongoing by Tim Bray	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	5	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	1	1	0	1	1	2	0	0	0	6	1	1	0	0	1	0	0	0	0	0	2	0	1	1	0	8	3	4	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	1	2	0	0	0	1	0	0	0	1	1	1	0	0	3	0	0	1	0	1	0	0	0	2	1	0	0	0	3	1	0	0	0	0	0	1	0	0	0	1	0	0	4	0	0	0	0	2	0	1	0	0	0	3	1	0	1	0	1	1	0	0	0	0	0	0	0	5	1	2	0	0	1	0	0	1	2	3	0	0	0	0	0	1	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	1	0	0	0	1	0	0	0	0	2	0	1	0	0	1	0	2	0	3	0	1	0	0	0	2	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	1	2	0	0	4	1	0	0	3	0	0	3	3	0	2	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	2	2	0	0	0	1	0	0	0	2	0	2	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	1	1	3	0	0	0	3	0	0	0	0	0	0	1	0	1	0	6	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	1	1	2	0	0	0	0	0	3	0	0	0	0	0	0
Kotaku	0	6	0	0	1	2	1	1	1	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	1	2	2	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	2	0	1	0	2	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	3	0	0	0	1	0	1	0	0	0	0	0	0	0	1	8	0	0	0	0	1	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	1	1	0	0	3	1	1	0	0	1	0	2	0	0	0	0	0	2	0	2	0	0	1	2	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	2	0	1	1	0	1	1	0	4	0	0	0	0	1	0	1	0	0	0	0	0	0	2	1	2	1	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	2	0	1	2	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	5	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	2	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	2	1	1	0	0	2	0	0	0	4	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	2	1	0	1	0	1	2	0	0	0	0	1	1	0	1	0	2	2	0	0	0	1	1	25	0	2	2	1	0	0	0	0	0	0	0	0	0	0	1	2	4	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	3	0	3	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	2	0
John Battelle's Search Blog	0	0	0	0	0	0	4	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	1	0	3	0	0	0	0	3	0	0	1	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	20	0	0	1	4	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	1	0	1	20	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	2	0	0	0	0	0	1	0	2	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	2	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	8	0	1	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	1	0	0	1	0	0	1	0	2	0	1	0	1	4	0	1	0	0	0	0	1	0	0	20	0	0	1	0	0	0	0	1	0	0	2	0	3	0	0	1	0	0	0	0	0	2	0	0	3	1	0	0	1	0	0	4	2	0	1	0	1	0	1	0	0	2	6	0	0	0	0	20	1	0	0	2	22	3	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	20	0	0	2	0	1	0	0	0	0	1	0	0	1	6	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	1	0	4	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	1	0	0	0	7	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	3	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	1	1	0	0	4	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	4
The Full Feed from HuffingtonPost.com	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	1	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	1	0	2	0	0	0	2	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	1	0	0	1	3	0	0	1	0	0	1	1	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	1	0	0	1	0	0	6	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	2	3	0	0	0	1	0	2	0	0	1	0	0	0	2	1	0	10	0	1	0	0	0	0	0	3	0	4	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	5	0
Gothamist	0	1	0	3	1	0	0	0	1	0	4	1	1	1	4	0	4	2	0	2	3	0	0	0	1	1	0	0	1	0	1	4	3	0	0	3	0	0	0	0	0	1	4	0	3	0	0	1	1	0	0	1	1	1	0	0	0	0	0	2	0	0	2	0	5	0	1	2	1	0	3	0	1	0	0	0	1	1	0	2	1	0	7	0	1	0	0	0	2	0	0	1	1	0	0	0	0	1	0	0	0	0	2	1	2	2	4	1	3	0	0	0	0	0	3	0	2	1	1	1	1	0	0	1	1	3	3	1	0	2	3	0	3	1	4	0	1	0	1	1	0	0	0	1	3	1	2	2	0	0	3	0	0	2	0	0	2	0	1	0	1	3	3	0	0	0	1	3	3	0	1	1	0	0	0	1	0	4	6	0	1	6	2	0	2	1	0	0	1	0	0	0	5	1	4	0	0	0	2	0	1	0	0	1	2	1	1	0	3	6	3	3	0	0	1	0	0	0	0	6	0	0	26	0	1	0	10	0	1	0	0	0	1	1	6	0	0	1	0	3	0	3	3	2	0	1	3	0	0	2	0	0	0	0	1	0	1	1	0	1	1	6	0	2	2	1	1	2	0	1	3	1	1	0	1	0	0	0	0	0	0	4	3	0	0	3	0	1	1	0	2	0	2	1	1	1	0	4	1	0	0	0	7	0	0	2	0	3	1	1	0	0	0	0	0	2	0	3	0	0	3	0	1	0	1	1	0	2	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	4	2	0	2	10	6	0	0	0	3	1	1	2	0	3	0	1	0	0	1	1	0	0	0	1	0	1	2	4	0	0	9	0	0	0	0	2	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	2	1	1	2	1	0	0	1	2	0	0	0	2	4	1	2	0	0	3	2	0	1	2	0	1	0	5	0	0	4	0	3	1	5	1	0	0	1	0	2	0	0	0	0	1	4	0	6	0	3	0	3	3	7	1	6	1	0	4	0	1	1	2	1	2	1	0	1	6	3	0	0	0	0	2	2	0	0	2	1	0	3	0	1	0	4	0	5	4	0	1	0	2	1	2	1	3	1	1	1	1	2	1	0	0	0	0	1	0	2	0	0	0	0	2	2	0	0	1	5	2	0	2	0	1	1	0	10	2
Steve Pavlina	0	1	0	0	1	19	0	0	0	0	0	0	2	0	1	0	0	33	0	2	0	0	0	0	0	20	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	8	4	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	12	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	18	11	0	0	0	0	0	0	0	12	13	0	0	1	0	0	1	0	1	0	0	0	0	3	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	17	0	1	5	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13	0	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	2	18	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	3	0	0	0	0	2	0	0	1	0	16	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	20	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	2	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	17	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Sifry's Alerts - David Sifry	2	3	10	3	1	0	2	2	0	1	2	0	5	0	4	1	1	3	5	6	0	4	12	0	1	4	3	6	3	0	1	0	3	3	7	8	0	0	8	0	3	5	1	3	0	1	0	0	3	2	2	16	1	0	2	1	6	2	0	0	13	0	0	1	2	1	20	0	8	3	6	0	6	8	0	25	0	1	0	0	0	1	5	1	0	1	0	3	11	1	10	4	0	0	8	1	0	0	3	0	3	2	4	0	23	2	6	0	13	1	6	2	0	2	9	0	0	2	0	1	0	2	0	0	2	11	0	0	0	1	0	0	0	0	0	2	4	0	2	1	0	0	0	0	1	1	3	7	2	2	8	6	1	0	2	1	0	1	3	2	0	0	1	0	0	0	3	10	5	2	2	0	0	0	5	0	1	1	0	2	2	4	3	1	11	2	6	2	3	0	0	3	3	0	2	0	0	6	0	1	2	0	2	3	4	2	2	3	5	0	1	0	0	16	4	0	2	4	2	2	6	1	2	0	14	2	2	2	0	0	3	4	2	4	10	12	1	2	0	2	0	2	8	0	0	1	0	3	1	0	0	0	1	1	3	6	1	4	13	0	3	1	5	1	2	2	1	2	6	8	2	0	0	3	1	0	2	1	0	3	1	0	5	0	0	0	4	0	3	1	0	2	3	1	4	3	3	2	0	1	6	2	7	0	3	2	2	13	0	6	1	1	1	0	1	3	1	0	1	0	12	2	0	0	0	3	4	4	8	1	4	1	4	3	2	2	6	0	0	1	1	0	2	4	2	0	17	16	5	5	7	4	11	2	1	1	3	0	2	3	0	0	4	1	2	2	1	2	1	9	4	8	0	0	0	0	2	3	7	2	1	3	0	1	8	1	1	4	1	0	0	0	4	3	6	9	2	3	0	3	4	0	1	6	2	2	0	0	1	7	1	5	8	1	5	1	5	0	1	2	7	22	4	0	3	8	1	6	2	3	0	7	0	4	0	6	3	8	5	0	0	0	2	6	2	0	0	10	4	1	11	2	1	0	2	4	10	6	0	3	6	2	7	9	0	0	3	14	5	3	0	1	4	0	0	5	0	2	1	5	1	3	0	25	1	1	15	2	0	1	7	7	8	2	0	3	1	0	0	5	4	2	0	9	4	2	3	11	3	1	2	0	12	1	3	0	4	1	1	1	8	2	10	2	1	2	1
TMZ.com	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	12	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	4	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	3	0	0	0	0	4	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	3	0	0	0	0	0	2	0	1	0	0	0	11	0	0	4	0	0	2	0	0	0	0	0	0	0	0	4	3	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	3	0	0	4	0	2	0	0	0	0	0	0	8	0	4	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	4	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	2	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	1	3	0	0	0	0	1	0	0	0	2	1	2	0	0	0	1	0	1	0	0	0	1	0	2	0	1	0	16	1	0	0	0	1	0	0	0	0	0	0	1	0	2	0	1	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	2	0	0	0	0	0	1	0	1	0	2	0	0	3	0	0	1	0	0	1	0	2	0	0	0	0	2	2	0	2	0	0	17	0
SpikedHumor - Today's Videos and Pictures	0	0	2	0	2	2	0	0	2	0	0	4	2	0	3	0	0	15	6	0	0	3	1	1	1	1	0	0	0	0	1	1	1	1	3	2	0	0	0	1	4	0	2	0	0	1	0	1	0	0	0	1	0	1	1	0	0	2	0	0	2	0	0	4	0	1	1	1	1	1	0	0	2	4	0	0	0	1	0	1	5	2	2	1	0	0	0	0	1	0	0	0	0	1	2	2	0	1	1	2	0	2	1	0	2	0	1	1	5	0	1	0	0	0	0	2	3	2	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	1	1	0	1	0	0	0	2	1	0	0	1	0	2	0	0	1	0	0	0	0	0	0	3	0	0	5	0	0	0	0	0	2	0	0	1	4	2	0	0	0	2	1	0	2	0	3	0	3	3	0	2	0	5	0	0	0	1	2	1	3	0	0	4	0	4	0	0	1	1	1	1	1	1	1	2	2	3	0	0	0	0	1	0	3	1	1	0	0	2	1	0	0	3	0	1	0	0	5	3	1	0	0	0	0	0	2	7	0	0	0	0	0	0	0	0	1	0	0	0	1	3	2	1	0	0	0	0	1	7	0	0	0	0	1	3	0	1	0	2	0	1	0	0	0	0	0	4	0	3	3	1	4	2	0	0	1	0	0	0	2	0	0	0	1	1	0	3	0	0	0	2	0	3	1	0	1	2	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	2	1	0	1	0	0	4	0	0	1	2	0	0	0	1	1	0	0	3	0	5	4	0	0	1	2	0	0	2	6	0	2	0	0	6	0	0	1	0	2	2	3	3	2	3	4	1	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	4	0	1	0	0	0	2	5	0	0	2	0	0	0	3	2	0	1	0	5	1	1	4	0	0	0	0	0	1	0	4	1	0	2	1	1	0	0	3	0	3	0	0	1	2	0	7	2	0	1	2	0	0	3	3	0	0	2	0	0	0	0	2	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	0	1	2	2	0	1	0	0	1	0	2	0	0	1	5	0	2	1	0	0	0	1	5	3	2	0	0	0	0	2	0	1	3	1	0	0	9	2
We Make Money Not Art	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0
Gapingvoid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	2	0	1	0	0	3	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	3	0	10	2	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
